id,chat_id,user_id,selected_path,decision_mode,prompt_version,art_affinity_score,created_at
label_chat_00067,chat_00067,user_0014,default,manual,default_v3,0.235,1767644140000
label_chat_00068,chat_00068,user_0014,default,manual,default_v3,0.228,1768008440000
label_chat_00069,chat_00069,user_0014,default,manual,default_v3,0.195,1768461468000
label_chat_00070,chat_00070,user_0014,default,manual,default_v3,0.185,1768645125000
label_chat_00071,chat_00071,user_0014,default,manual,default_v3,0.232,1768735249000
label_chat_00072,chat_00072,user_0014,default,manual,default_v3,0.172,1769104139000
label_chat_00073,chat_00073,user_0015,default,manual,default_v3,0.219,1772044241000
label_chat_00074,chat_00074,user_0015,default,manual,default_v3,0.356,1772413858000
label_chat_00075,chat_00075,user_0015,default,manual,default_v3,0.237,1772600613000
label_chat_00076,chat_00076,user_0015,default,manual,default_v3,0.297,1772801581000
label_chat_00077,chat_00077,user_0016,default,manual,default_v3,0.294,1769470495000
label_chat_00078,chat_00078,user_0016,art,manual,art_v3,0.764,1769559396000
label_chat_00079,chat_00079,user_0016,art,manual,art_v3,0.748,1769919794000
label_chat_00080,chat_00080,user_0016,art,manual,art_v3,0.779,1770376009000
label_chat_00081,chat_00081,user_0017,default,manual,default_v3,0.299,1768941720000
label_chat_00082,chat_00082,user_0017,default,manual,default_v3,0.385,1769048395000
label_chat_00083,chat_00083,user_0017,default,manual,default_v3,0.418,1769330692000
label_chat_00084,chat_00084,user_0017,default,manual,default_v3,0.327,1769507706000
label_chat_00085,chat_00085,user_0017,default,manual,default_v3,0.413,1769705169000
label_chat_00086,chat_00086,user_0017,default,manual,default_v3,0.321,1769811414000
label_chat_00087,chat_00087,user_0018,default,manual,default_v3,0.185,1768347668000
label_chat_00088,chat_00088,user_0018,default,manual,default_v3,0.301,1768541929000
label_chat_00089,chat_00089,user_0018,default,manual,default_v3,0.167,1768741014000
label_chat_00090,chat_00090,user_0018,default,manual,default_v3,0.223,1768843799000
label_chat_00091,chat_00091,user_0018,default,manual,default_v3,0.285,1768951000000
label_chat_00092,chat_00092,user_0019,art,manual,art_v3,0.788,1772394524000
label_chat_00093,chat_00093,user_0019,art,manual,art_v3,0.678,1772761672000
label_chat_00094,chat_00094,user_0019,art,manual,art_v3,0.781,1772943962000
label_chat_00095,chat_00095,user_0019,default,manual,default_v3,0.232,1773123729000
label_chat_00096,chat_00096,user_0019,art,manual,art_v3,0.829,1773303286000
label_chat_00097,chat_00097,user_0019,default,manual,default_v3,0.268,1773657585000
label_chat_00098,chat_00098,user_0020,default,manual,default_v3,0.237,1775075759000
label_chat_00099,chat_00099,user_0020,default,manual,default_v3,0.25,1775169606000
label_chat_00100,chat_00100,user_0020,default,manual,default_v3,0.363,1775363048000
label_chat_00101,chat_00101,user_0020,default,manual,default_v3,0.311,1775639637000
label_chat_00102,chat_00102,user_0020,default,manual,default_v3,0.272,1776094998000
label_chat_00103,chat_00103,user_0021,art,manual,art_v3,0.749,1773515564000
label_chat_00104,chat_00104,user_0021,art,manual,art_v3,0.85,1773973795000
label_chat_00105,chat_00105,user_0021,art,manual,art_v3,0.654,1774334860000
label_chat_00106,chat_00106,user_0021,art,manual,art_v3,0.787,1774686553000
label_chat_00107,chat_00107,user_0021,art,manual,art_v3,0.651,1775036612000
label_chat_00108,chat_00108,user_0021,default,manual,default_v3,0.171,1775227136000
label_chat_00109,chat_00109,user_0022,art,manual,art_v3,0.811,1769031835000
label_chat_00110,chat_00110,user_0022,default,manual,default_v3,0.253,1769313170000
label_chat_00111,chat_00111,user_0022,art,manual,art_v3,0.819,1769590749000
label_chat_00112,chat_00112,user_0022,default,manual,default_v3,0.316,1769948221000
label_chat_00113,chat_00113,user_0022,default,manual,default_v3,0.272,1770043000000
label_chat_00114,chat_00114,user_0023,art,manual,art_v3,0.878,1767742750000
label_chat_00115,chat_00115,user_0023,art,manual,art_v3,0.729,1768092042000
label_chat_00116,chat_00116,user_0023,default,manual,default_v3,0.224,1768282006000
label_chat_00117,chat_00117,user_0023,art,manual,art_v3,0.701,1768652350000
label_chat_00118,chat_00118,user_0023,art,manual,art_v3,0.887,1768749474000
label_chat_00119,chat_00119,user_0023,art,manual,art_v3,0.762,1768842588000
label_chat_00120,chat_00120,user_0024,default,manual,default_v3,0.252,1769200069000
label_chat_00121,chat_00121,user_0024,default,manual,default_v3,0.201,1769646242000
label_chat_00122,chat_00122,user_0024,default,manual,default_v3,0.217,1769743937000
label_chat_00123,chat_00123,user_0024,default,manual,default_v3,0.161,1770018433000
label_chat_00124,chat_00124,user_0024,default,manual,default_v3,0.241,1770196440000
label_chat_00125,chat_00125,user_0025,default,manual,default_v3,0.328,1770670612000
label_chat_00126,chat_00126,user_0025,default,manual,default_v3,0.293,1770864544000
label_chat_00127,chat_00127,user_0025,default,manual,default_v3,0.224,1771302311000
label_chat_00128,chat_00128,user_0025,default,manual,default_v3,0.19,1771489593000
label_chat_00129,chat_00129,user_0026,default,manual,default_v3,0.382,1770065527000
label_chat_00130,chat_00130,user_0026,default,manual,default_v3,0.286,1770435408000
label_chat_00131,chat_00131,user_0026,default,manual,default_v3,0.337,1770801233000
label_chat_00132,chat_00132,user_0026,default,manual,default_v3,0.314,1771078802000
label_chat_00133,chat_00133,user_0026,default,manual,default_v3,0.299,1771538239000
label_chat_00134,chat_00134,user_0027,default,manual,default_v3,0.249,1775082505000
label_chat_00135,chat_00135,user_0027,default,manual,default_v3,0.337,1775188084000
label_chat_00136,chat_00136,user_0027,default,manual,default_v3,0.22,1775371790000
label_chat_00137,chat_00137,user_0027,default,manual,default_v3,0.355,1775561087000
label_chat_00138,chat_00138,user_0027,default,manual,default_v3,0.271,1775747696000
label_chat_00139,chat_00139,user_0028,default,manual,default_v3,0.218,1768433058000
label_chat_00140,chat_00140,user_0028,default,manual,default_v3,0.294,1768869103000
label_chat_00141,chat_00141,user_0028,default,manual,default_v3,0.233,1769150717000
label_chat_00142,chat_00142,user_0028,default,manual,default_v3,0.266,1769522125000
label_chat_00143,chat_00143,user_0029,default,manual,default_v3,0.209,1774050415000
label_chat_00144,chat_00144,user_0029,default,manual,default_v3,0.232,1774419573000
label_chat_00145,chat_00145,user_0029,default,manual,default_v3,0.193,1774781337000
label_chat_00146,chat_00146,user_0029,default,manual,default_v3,0.318,1775236992000
label_chat_00147,chat_00147,user_0029,default,manual,default_v3,0.197,1775503509000
label_chat_00148,chat_00148,user_0030,default,manual,default_v3,0.226,1768002044000
label_chat_00149,chat_00149,user_0030,default,manual,default_v3,0.252,1768199746000
label_chat_00150,chat_00150,user_0030,default,manual,default_v3,0.164,1768635042000
label_chat_00151,chat_00151,user_0030,default,manual,default_v3,0.259,1768822149000
label_chat_00152,chat_00152,user_0030,default,manual,default_v3,0.304,1769261586000
label_chat_00153,chat_00153,user_0030,default,manual,default_v3,0.221,1769445965000
label_chat_00154,chat_00154,user_0031,art,manual,art_v3,0.655,1773166726000
label_chat_00155,chat_00155,user_0031,art,manual,art_v3,0.844,1773537965000
label_chat_00156,chat_00156,user_0031,art,manual,art_v3,0.66,1773627662000
label_chat_00157,chat_00157,user_0031,default,manual,default_v3,0.294,1773729666000
label_chat_00158,chat_00158,user_0032,default,manual,default_v3,0.275,1767648730000
label_chat_00159,chat_00159,user_0032,default,manual,default_v3,0.269,1768008896000
label_chat_00160,chat_00160,user_0032,default,manual,default_v3,0.229,1768195688000
label_chat_00161,chat_00161,user_0032,default,manual,default_v3,0.269,1768290353000
label_chat_00162,chat_00162,user_0032,default,manual,default_v3,0.242,1768735539000
label_chat_00163,chat_00163,user_0032,default,manual,default_v3,0.161,1769009990000
label_chat_00164,chat_00164,user_0033,default,manual,default_v3,0.198,1769369342000
label_chat_00165,chat_00165,user_0033,default,manual,default_v3,0.162,1769640649000
label_chat_00166,chat_00166,user_0033,default,manual,default_v3,0.288,1769999630000
label_chat_00167,chat_00167,user_0033,default,manual,default_v3,0.187,1770352904000
label_chat_00168,chat_00168,user_0033,default,manual,default_v3,0.23,1770538993000
label_chat_00169,chat_00169,user_0033,default,manual,default_v3,0.296,1770907394000
label_chat_00170,chat_00170,user_0034,default,manual,default_v3,0.278,1773776994000
label_chat_00171,chat_00171,user_0034,default,manual,default_v3,0.296,1774136291000
label_chat_00172,chat_00172,user_0034,default,manual,default_v3,0.182,1774408904000
label_chat_00173,chat_00173,user_0034,default,manual,default_v3,0.164,1774868241000
label_chat_00174,chat_00174,user_0034,default,manual,default_v3,0.237,1775060112000
label_chat_00175,chat_00175,user_0034,default,manual,default_v3,0.253,1775162160000
label_chat_00176,chat_00176,user_0035,default,manual,default_v3,0.212,1774039634000
label_chat_00177,chat_00177,user_0035,default,manual,default_v3,0.219,1774308288000
label_chat_00178,chat_00178,user_0035,default,manual,default_v3,0.367,1774744725000
label_chat_00179,chat_00179,user_0035,default,manual,default_v3,0.172,1774924695000
label_chat_00180,chat_00180,user_0035,default,manual,default_v3,0.305,1775203777000
label_chat_00181,chat_00181,user_0035,default,manual,default_v3,0.278,1775567635000
label_chat_00182,chat_00182,user_0036,default,manual,default_v3,0.29,1770933602000
label_chat_00183,chat_00183,user_0036,default,manual,default_v3,0.237,1771112839000
label_chat_00184,chat_00184,user_0036,default,manual,default_v3,0.237,1771302694000
label_chat_00185,chat_00185,user_0036,default,manual,default_v3,0.305,1771667150000
label_chat_00186,chat_00186,user_0036,default,manual,default_v3,0.169,1771845923000
label_chat_00187,chat_00187,user_0036,default,manual,default_v3,0.26,1771941244000
label_chat_00188,chat_00188,user_0037,default,manual,default_v3,0.313,1772313769000
label_chat_00189,chat_00189,user_0037,default,manual,default_v3,0.203,1772425683000
label_chat_00190,chat_00190,user_0037,default,manual,default_v3,0.214,1772781074000
label_chat_00191,chat_00191,user_0037,default,manual,default_v3,0.279,1772973475000
label_chat_00192,chat_00192,user_0037,default,manual,default_v3,0.264,1773246773000
label_chat_00193,chat_00193,user_0038,default,manual,default_v3,0.306,1774822978000
label_chat_00194,chat_00194,user_0038,default,manual,default_v3,0.235,1775176302000
label_chat_00195,chat_00195,user_0038,default,manual,default_v3,0.267,1775441084000
label_chat_00196,chat_00196,user_0038,default,manual,default_v3,0.24,1775553341000
label_chat_00197,chat_00197,user_0038,default,manual,default_v3,0.201,1775994943000
label_chat_00198,chat_00198,user_0038,default,manual,default_v3,0.18,1776435417000
label_chat_00199,chat_00199,user_0039,default,manual,default_v3,0.281,1767570279000
label_chat_00200,chat_00200,user_0039,default,manual,default_v3,0.226,1767671657000
label_chat_00201,chat_00201,user_0039,default,manual,default_v3,0.142,1767852648000
label_chat_00202,chat_00202,user_0039,default,manual,default_v3,0.272,1768046805000
label_chat_00203,chat_00203,user_0039,default,manual,default_v3,0.155,1768141622000
label_chat_00204,chat_00204,user_0039,default,manual,default_v3,0.245,1768405660000
label_chat_00205,chat_00205,user_0040,default,manual,default_v3,0.306,1768088389000
label_chat_00206,chat_00206,user_0040,default,manual,default_v3,0.313,1768458482000
label_chat_00207,chat_00207,user_0040,default,manual,default_v3,0.162,1768732986000
label_chat_00208,chat_00208,user_0040,default,manual,default_v3,0.246,1769168277000
label_chat_00209,chat_00209,user_0040,default,manual,default_v3,0.266,1769348036000
label_chat_00210,chat_00210,user_0040,default,manual,default_v3,0.212,1769614933000
label_chat_00211,chat_00211,user_0041,art,manual,art_v3,0.77,1768159726000
label_chat_00212,chat_00212,user_0041,art,manual,art_v3,0.886,1768532164000
label_chat_00213,chat_00213,user_0041,art,manual,art_v3,0.764,1768810439000
label_chat_00214,chat_00214,user_0041,art,manual,art_v3,0.657,1769005192000
label_chat_00215,chat_00215,user_0041,default,manual,default_v3,0.29,1769451577000
label_chat_00216,chat_00216,user_0041,art,manual,art_v3,0.789,1769904887000
label_chat_00217,chat_00217,user_0042,default,manual,default_v3,0.188,1769723154000
label_chat_00218,chat_00218,user_0042,default,manual,default_v3,0.219,1770158452000
label_chat_00219,chat_00219,user_0042,default,manual,default_v3,0.291,1770355862000
label_chat_00220,chat_00220,user_0042,art,manual,art_v3,0.8,1770791747000
label_chat_00221,chat_00221,user_0042,art,manual,art_v3,0.765,1771161173000
label_chat_00222,chat_00222,user_0042,art,manual,art_v3,0.652,1771259202000
label_chat_00223,chat_00223,user_0043,default,manual,default_v3,0.277,1770925200000
label_chat_00224,chat_00224,user_0043,art,manual,art_v3,0.719,1771294958000
label_chat_00225,chat_00225,user_0043,art,manual,art_v3,0.775,1771644790000
label_chat_00226,chat_00226,user_0043,default,manual,default_v3,0.268,1771752464000
label_chat_00227,chat_00227,user_0043,art,manual,art_v3,0.725,1771947165000
label_chat_00228,chat_00228,user_0044,default,manual,default_v3,0.168,1770669259000
label_chat_00229,chat_00229,user_0044,art,manual,art_v3,0.698,1771105626000
label_chat_00230,chat_00230,user_0044,default,manual,default_v3,0.301,1771291028000
label_chat_00231,chat_00231,user_0044,art,manual,art_v3,0.768,1771642200000
label_chat_00232,chat_00232,user_0045,art,manual,art_v3,0.694,1768426839000
label_chat_00233,chat_00233,user_0045,default,manual,default_v3,0.358,1768876264000
label_chat_00234,chat_00234,user_0045,default,manual,default_v3,0.286,1768967286000
label_chat_00235,chat_00235,user_0045,art,manual,art_v3,0.765,1769153700000
label_chat_00236,chat_00236,user_0046,art,manual,art_v3,0.735,1770677839000
label_chat_00237,chat_00237,user_0046,art,manual,art_v3,0.723,1770851466000
label_chat_00238,chat_00238,user_0046,default,manual,default_v3,0.311,1771121327000
label_chat_00239,chat_00239,user_0046,art,manual,art_v3,0.818,1771481637000
label_chat_00240,chat_00240,user_0046,default,manual,default_v3,0.336,1771580647000
label_chat_00241,chat_00241,user_0046,art,manual,art_v3,0.846,1771939686000
label_chat_00242,chat_00242,user_0047,default,manual,default_v3,0.265,1770939557000
label_chat_00243,chat_00243,user_0047,default,manual,default_v3,0.19,1771032962000
label_chat_00244,chat_00244,user_0047,default,manual,default_v3,0.249,1771314410000
label_chat_00245,chat_00245,user_0047,art,manual,art_v3,0.806,1771593788000
label_chat_00246,chat_00246,user_0047,default,manual,default_v3,0.19,1771874694000
label_chat_00247,chat_00247,user_0047,default,manual,default_v3,0.228,1772069335000
label_chat_00248,chat_00248,user_0048,default,manual,default_v3,0.356,1768249033000
label_chat_00249,chat_00249,user_0048,default,manual,default_v3,0.362,1768436825000
label_chat_00250,chat_00250,user_0048,default,manual,default_v3,0.439,1768872112000
label_chat_00251,chat_00251,user_0048,default,manual,default_v3,0.395,1769222353000
label_chat_00252,chat_00252,user_0048,default,manual,default_v3,0.379,1769665243000
label_chat_00253,chat_00253,user_0048,default,manual,default_v3,0.436,1769759482000
label_chat_00254,chat_00254,user_0049,art,manual,art_v3,0.709,1773004362000
label_chat_00255,chat_00255,user_0049,art,manual,art_v3,0.828,1773290393000
label_chat_00256,chat_00256,user_0049,art,manual,art_v3,0.674,1773387589000
label_chat_00257,chat_00257,user_0049,art,manual,art_v3,0.777,1773479591000
label_chat_00258,chat_00258,user_0049,art,manual,art_v3,0.829,1773585192000
label_chat_00259,chat_00259,user_0050,art,manual,art_v3,0.835,1774300984000
label_chat_00260,chat_00260,user_0050,art,manual,art_v3,0.762,1774670921000
label_chat_00261,chat_00261,user_0050,art,manual,art_v3,0.642,1774765070000
label_chat_00262,chat_00262,user_0050,art,manual,art_v3,0.649,1775028407000
label_chat_00263,chat_00263,user_0051,default,manual,default_v3,0.257,1769207752000
label_chat_00264,chat_00264,user_0051,default,manual,default_v3,0.268,1769656992000
label_chat_00265,chat_00265,user_0051,default,manual,default_v3,0.197,1769935566000
label_chat_00266,chat_00266,user_0051,default,manual,default_v3,0.183,1770372641000
label_chat_00267,chat_00267,user_0051,default,manual,default_v3,0.236,1770567478000
label_chat_00268,chat_00268,user_0051,default,manual,default_v3,0.208,1770761633000
label_chat_00269,chat_00269,user_0052,default,manual,default_v3,0.36,1769902805000
label_chat_00270,chat_00270,user_0052,default,manual,default_v3,0.363,1770079968000
label_chat_00271,chat_00271,user_0052,default,manual,default_v3,0.321,1770528051000
label_chat_00272,chat_00272,user_0052,default,manual,default_v3,0.37,1770888522000
label_chat_00273,chat_00273,user_0053,art,manual,art_v3,0.851,1769463829000
label_chat_00274,chat_00274,user_0053,default,manual,default_v3,0.19,1769909471000
label_chat_00275,chat_00275,user_0053,art,manual,art_v3,0.739,1770017807000
label_chat_00276,chat_00276,user_0053,art,manual,art_v3,0.681,1770287204000
label_chat_00277,chat_00277,user_0053,default,manual,default_v3,0.258,1770551643000
label_chat_00278,chat_00278,user_0053,default,manual,default_v3,0.297,1770652004000
label_chat_00279,chat_00279,user_0054,default,manual,default_v3,0.387,1771967631000
label_chat_00280,chat_00280,user_0054,default,manual,default_v3,0.376,1772151784000
label_chat_00281,chat_00281,user_0054,default,manual,default_v3,0.439,1772340239000
label_chat_00282,chat_00282,user_0054,default,manual,default_v3,0.325,1772710851000
label_chat_00283,chat_00283,user_0054,default,manual,default_v3,0.351,1772801289000
label_chat_00284,chat_00284,user_0055,art,manual,art_v3,0.734,1771180983000
label_chat_00285,chat_00285,user_0055,art,manual,art_v3,0.886,1771449601000
label_chat_00286,chat_00286,user_0055,default,manual,default_v3,0.169,1771735855000
label_chat_00287,chat_00287,user_0055,art,manual,art_v3,0.797,1771838296000
label_chat_00288,chat_00288,user_0055,default,manual,default_v3,0.278,1772030815000
label_chat_00289,chat_00289,user_0055,art,manual,art_v3,0.783,1772127241000
label_chat_00290,chat_00290,user_0056,default,manual,default_v3,0.277,1771015157000
label_chat_00291,chat_00291,user_0056,default,manual,default_v3,0.325,1771383186000
label_chat_00292,chat_00292,user_0056,default,manual,default_v3,0.258,1771662116000
label_chat_00293,chat_00293,user_0056,default,manual,default_v3,0.167,1772019706000
label_chat_00294,chat_00294,user_0057,default,manual,default_v3,0.262,1770403085000
label_chat_00295,chat_00295,user_0057,default,manual,default_v3,0.17,1770860020000
label_chat_00296,chat_00296,user_0057,default,manual,default_v3,0.194,1771039042000
label_chat_00297,chat_00297,user_0057,default,manual,default_v3,0.21,1771233039000
label_chat_00298,chat_00298,user_0057,default,manual,default_v3,0.17,1771680539000
label_chat_00299,chat_00299,user_0058,default,manual,default_v3,0.195,1772312931000
label_chat_00300,chat_00300,user_0058,default,manual,default_v3,0.234,1772583178000
label_chat_00301,chat_00301,user_0058,default,manual,default_v3,0.232,1772862127000
label_chat_00302,chat_00302,user_0058,default,manual,default_v3,0.298,1773041820000
label_chat_00303,chat_00303,user_0059,art,manual,art_v3,0.795,1767295516000
label_chat_00304,chat_00304,user_0059,art,manual,art_v3,0.836,1767566653000
label_chat_00305,chat_00305,user_0059,art,manual,art_v3,0.716,1767752696000
label_chat_00306,chat_00306,user_0059,art,manual,art_v3,0.702,1767943310000
label_chat_00307,chat_00307,user_0060,default,manual,default_v3,0.173,1767303409000
label_chat_00308,chat_00308,user_0060,default,manual,default_v3,0.291,1767497475000
label_chat_00309,chat_00309,user_0060,default,manual,default_v3,0.268,1767595801000
label_chat_00310,chat_00310,user_0060,default,manual,default_v3,0.255,1767868859000
label_chat_00311,chat_00311,user_0060,default,manual,default_v3,0.298,1768130781000
label_chat_00312,chat_00312,user_0060,default,manual,default_v3,0.242,1768483142000
label_chat_00313,chat_00313,user_0061,default,manual,default_v3,0.312,1768593662000
label_chat_00314,chat_00314,user_0061,default,manual,default_v3,0.207,1768786142000
label_chat_00315,chat_00315,user_0061,default,manual,default_v3,0.211,1769055113000
label_chat_00316,chat_00316,user_0061,default,manual,default_v3,0.269,1769512914000
label_chat_00317,chat_00317,user_0062,default,manual,default_v3,0.313,1771370328000
label_chat_00318,chat_00318,user_0062,default,manual,default_v3,0.246,1771822079000
label_chat_00319,chat_00319,user_0062,default,manual,default_v3,0.383,1771912143000
label_chat_00320,chat_00320,user_0062,default,manual,default_v3,0.286,1772358783000
label_chat_00321,chat_00321,user_0062,default,manual,default_v3,0.361,1772721547000
label_chat_00322,chat_00322,user_0062,default,manual,default_v3,0.38,1773001304000
label_chat_00323,chat_00323,user_0063,default,manual,default_v3,0.247,1770420610000
label_chat_00324,chat_00324,user_0063,default,manual,default_v3,0.314,1770788400000
label_chat_00325,chat_00325,user_0063,default,manual,default_v3,0.203,1770892205000
label_chat_00326,chat_00326,user_0063,default,manual,default_v3,0.214,1771244523000
label_chat_00327,chat_00327,user_0064,default,manual,default_v3,0.382,1769815042000
label_chat_00328,chat_00328,user_0064,default,manual,default_v3,0.326,1770093981000
label_chat_00329,chat_00329,user_0064,default,manual,default_v3,0.402,1770268185000
label_chat_00330,chat_00330,user_0064,default,manual,default_v3,0.348,1770363170000
label_chat_00331,chat_00331,user_0064,default,manual,default_v3,0.293,1770815856000
label_chat_00332,chat_00332,user_0064,default,manual,default_v3,0.287,1770993616000
label_chat_00333,chat_00333,user_0065,default,manual,default_v3,0.197,1769210838000
label_chat_00334,chat_00334,user_0065,default,manual,default_v3,0.22,1769387823000
label_chat_00335,chat_00335,user_0065,default,manual,default_v3,0.244,1769826299000
label_chat_00336,chat_00336,user_0065,default,manual,default_v3,0.207,1769937535000
label_chat_00337,chat_00337,user_0065,default,manual,default_v3,0.14,1770206172000
label_chat_00338,chat_00338,user_0066,art,manual,art_v3,0.691,1771017393000
label_chat_00339,chat_00339,user_0066,art,manual,art_v3,0.753,1771214820000
label_chat_00340,chat_00340,user_0066,art,manual,art_v3,0.808,1771656341000
label_chat_00341,chat_00341,user_0066,art,manual,art_v3,0.797,1772019239000
label_chat_00342,chat_00342,user_0066,art,manual,art_v3,0.802,1772203596000
label_chat_00343,chat_00343,user_0066,art,manual,art_v3,0.81,1772649882000
label_chat_00344,chat_00344,user_0067,default,manual,default_v3,0.423,1771882130000
label_chat_00345,chat_00345,user_0067,art,manual,art_v3,0.725,1772079514000
label_chat_00346,chat_00346,user_0067,art,manual,art_v3,0.783,1772536851000
label_chat_00347,chat_00347,user_0067,default,manual,default_v3,0.313,1772982582000
label_chat_00348,chat_00348,user_0067,art,manual,art_v3,0.884,1773250204000
label_chat_00349,chat_00349,user_0068,default,manual,default_v3,0.256,1771267992000
label_chat_00350,chat_00350,user_0068,default,manual,default_v3,0.219,1771622414000
label_chat_00351,chat_00351,user_0068,art,manual,art_v3,0.845,1771721476000
label_chat_00352,chat_00352,user_0068,default,manual,default_v3,0.313,1771913563000
label_chat_00353,chat_00353,user_0068,art,manual,art_v3,0.835,1772112792000
label_chat_00354,chat_00354,user_0069,art,manual,art_v3,0.914,1772562251000
label_chat_00355,chat_00355,user_0069,art,manual,art_v3,0.901,1772757237000
label_chat_00356,chat_00356,user_0069,art,manual,art_v3,0.777,1772954784000
